Name,VM ID,Source,AppType,DataConfigTemplate
petclinic-tomcat-tkn,petclinic-springboot,my-ce-src,tomcat-container
petclinic-mysql-tkn,petclinic-mysql,my-ce-src,linux-system-container,mysql.yaml
